lat,lon,地形,河网,地均人口,地均GDP,人均GDP,population,地名
26,97.25,0,0,0,0,0,0,
26,97.3,0,0,0,0,0,0,
26,97.35,0,0,0,0,0,0,
26,98.6,0,0,0,0,0,0,
26,98.65,0,0,0,0,0,0,
26,98.7,0,0,0,0,0,0,
26,98.75,0,0,0,0,0,0,
26,98.8,0,0,0,0,0,0,
26,98.85,0,0,0,0,0,0,
26,98.9,0,0,0,0,0,0,
26,98.95,0,0,0,0,0,0,
26,99,0,0,0,0,0,0,
26,99.05,0,0,0,0,0,0,
26,99.1,0,0,0,0,0,0,
26,99.15,0,0,0,0,0,0,
26,99.2,0,0,0,0,0,0,
26,99.25,0,0,0,0,0,0,
26,99.3,0,0,0,0,0,0,
26,99.35,0,0,0,0,0,0,
26,99.4,0,0,0,0,0,0,
26,99.45,0,0,0,0,0,0,
26,99.5,0,0,0,0,0,0,
26,99.55,0,0,0,0,0,0,
26,99.6,0,0,0,0,0,0,
26,99.65,0,0,0,0,0,0,
26,99.7,0,0,0,0,0,0,
26,99.75,0,0,0,0,0,0,
26,99.8,0,0,0,0,0,0,
26,99.85,0,0,0,0,0,0,
26,99.9,0,0,0,0,0,0,
26,99.95,0,0,0,0,0,0,
26,100,0,0,0,0,0,0,
26,100.05,0,0,0,0,0,0,
26,100.1,0,0,0,0,0,0,
26,100.15,0,0,0,0,0,0,
26,100.2,0,0,0,0,0,0,
26,100.25,0,0,0,0,0,0,
26,100.3,0,0,0,0,0,0,
26,100.35,0,0,0,0,0,0,
26,100.4,0,0,0,0,0,0,
26,100.45,0,0,0,0,0,0,
26,100.5,0,0,0,0,0,0,
26,100.55,0,0,0,0,0,0,
26,100.6,0,0,0,0,0,0,
26,100.65,0,0,0,0,0,0,
26,100.7,0,0,0,0,0,0,
26,100.75,0,0,0,0,0,0,
26,100.8,0,0,0,0,0,0,
26,100.85,0,0,0,0,0,0,
26,100.9,0,0,0,0,0,0,
26,100.95,0,0,0,0,0,0,
26,101,0,0,0,0,0,0,
26,101.05,0,0,0,0,0,0,
26,101.1,0,0,0,0,0,0,
26,101.15,0,0,0,0,0,0,
26,101.2,0,0,0,0,0,0,
26,101.25,0,0,0,0,0,0,
26,101.3,0,0,0,0,0,0,
26,101.35,0,0,0,0,0,0,
26,101.4,0,0,0,0,0,0,
26,101.45,0,0,0,0,0,0,
26,101.5,0,0,0,0,0,0,
26,101.55,0,0,0,0,0,0,
26,101.6,0,0,0,0,0,0,
26,101.65,0,0,0,0,0,0,
26,101.8,0,0,0,0,0,0,
26,101.85,0,0,0,0,0,0,
26,101.9,0,0,0,0,0,0,
26,101.95,0,0,0,0,0,0,
26,102,0,0,0,0,0,0,
26,102.05,0,0,0,0,0,0,
26,102.1,0,0,0,0,0,0,
26,102.15,0,0,0,0,0,0,
26,102.2,0,0,0,0,0,0,
26,102.25,0,0,0,0,0,0,
26,102.3,0,0,0,0,0,0,
26,104.05,0,0,0,0,0,0,
26,104.1,0,0,0,0,0,0,
26,104.15,0,0,0,0,0,0,
26,104.2,0,0,0,0,0,0,
26,104.25,0,0,0,0,0,0,
26,104.3,0,0,0,0,0,0,
26,104.35,0,0,0,0,0,0,
26,104.4,0,0,0,0,0,0,
26,104.45,0,0,0,0,0,0,
26,104.5,0,0,0,0,0,0,
26,104.55,0,0,0,0,0,0,
26,104.6,0,0,0,0,0,0,
26,104.65,0,0,0,0,0,0,
26,104.7,0,0,0,0,0,0,
26,104.75,0,0,0,0,0,0,
26,104.8,0,0,0,0,0,0,
26,104.85,0,0,0,0,0,0,
26,104.9,0,0,0,0,0,0,
26,104.95,0,0,0,0,0,0,
26,105,0,0,0,0,0,0,
26,105.05,0,0,0,0,0,0,
26,105.1,0,0,0,0,0,0,
26,105.15,0,0,0,0,0,0,
26,105.2,0,0,0,0,0,0,
26,105.25,0,0,0,0,0,0,
26,105.3,0,0,0,0,0,0,
26,105.35,0,0,0,0,0,0,
26,105.4,0,0,0,0,0,0,
26,105.45,0,0,0,0,0,0,
26,105.5,0,0,0,0,0,0,
26,105.55,0,0,0,0,0,0,
26,105.6,0,0,0,0,0,0,
26,105.65,0,0,0,0,0,0,
26,105.7,0,0,0,0,0,0,
26,105.75,0,0,0,0,0,0,
26,105.8,0,0,0,0,0,0,
26,105.85,0,0,0,0,0,0,
26,105.9,0,0,0,0,0,0,
26,105.95,0,0,0,0,0,0,
26,106,0,0,0,0,0,0,
26,106.05,0,0,0,0,0,0,
26,106.1,0,0,0,0,0,0,
26,106.15,0,0,0,0,0,0,
26,106.2,0,0,0,0,0,0,
26,106.25,0,0,0,0,0,0,
26,106.3,0,0,0,0,0,0,
26,106.35,0,0,0,0,0,0,
26,106.4,0,0,0,0,0,0,
26,106.45,0,0,0,0,0,0,
26,106.5,0,0,0,0,0,0,
26,106.55,0,0,0,0,0,0,
26,106.6,0,0,0,0,0,0,
26,106.65,0,0,0,0,0,0,
26,106.7,0,0,0,0,0,0,
26,106.75,0,0,0,0,0,0,
26,106.8,0,0,0,0,0,0,
26,106.85,0,0,0,0,0,0,
26,106.9,0,0,0,0,0,0,
26,106.95,0,0,0,0,0,0,
26,107,0,0,0,0,0,0,
26,107.05,0,0,0,0,0,0,
26,107.1,0,0,0,0,0,0,
26,107.15,0,0,0,0,0,0,
26,107.2,0,0,0,0,0,0,
26,107.25,0,0,0,0,0,0,
26,107.3,0,0,0,0,0,0,
26,107.35,0,0,0,0,0,0,
26,107.4,0,0,0,0,0,0,
26,107.45,0,0,0,0,0,0,
26,107.5,0,0,0,0,0,0,
26,107.55,0,0,0,0,0,0,
26,107.6,0,0,0,0,0,0,
26,107.65,0,0,0,0,0,0,
26,107.7,0,0,0,0,0,0,
26,107.75,0,0,0,0,0,0,
26,107.8,0,0,0,0,0,0,
26,107.85,0,0,0,0,0,0,
26,107.9,0,0,0,0,0,0,
26,107.95,0,0,0,0,0,0,
26,108,0,0,0,0,0,0,
26,108.05,0,0,0,0,0,0,
26,108.1,0,0,0,0,0,0,
26,108.15,0,0,0,0,0,0,
26,108.2,0,0,0,0,0,0,
26,108.25,0,0,0,0,0,0,
26,108.3,0,0,0,0,0,0,
26,108.35,0,0,0,0,0,0,
26,108.4,0,0,0,0,0,0,
26,108.45,0,0,0,0,0,0,
26,108.5,0,0,0,0,0,0,
26,108.55,0,0,0,0,0,0,
26,108.6,0,0,0,0,0,0,
26.05,98.4,0,0,0,0,0,0,
26.05,98.45,0,0,0,0,0,0,
26.05,98.5,0,0,0,0,0,0,
26.05,98.55,0,0,0,0,0,0,
26.05,98.6,0,0,0,0,0,0,
26.05,98.65,0,0,0,0,0,0,
26.05,98.7,0,0,0,0,0,0,
26.05,98.75,0,0,0,0,0,0,
26.05,98.8,0,0,0,0,0,0,
26.05,98.85,0,0,0,0,0,0,
26.05,98.9,0,0,0,0,0,0,
26.05,98.95,0,0,0,0,0,0,
26.05,99,0,0,0,0,0,0,
26.05,99.05,0,0,0,0,0,0,
26.05,99.1,0,0,0,0,0,0,
26.05,99.15,0,0,0,0,0,0,
26.05,99.2,0,0,0,0,0,0,
26.05,99.25,0,0,0,0,0,0,
